review_id,intent_id,intent_name,status,notes
"FRQ-P4-001","INTENT-01-SEO","SEO & Search Visibility Inquiry","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-002","INTENT-02-WEB","Website Design & Rebuild Inquiry","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-003","INTENT-03-AUTO","Workflow & AI Automation Inquiry","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-004","INTENT-04-CTO","Technology Advisory & Fractional CTO","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-005","INTENT-05-PRICE","Pricing, Investment & Retainer Inquiry","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-006","INTENT-06-AUDIT-INTAKE","Diagnostic Systems Review Intake (Audit)","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-007","INTENT-06-AUDIT-INFO","Informational Audit FAQ","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-008","INTENT-07-EVIDENCE","Case Studies & Production Evidence Request","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-009","INTENT-08-BOOKING","Direct Consultation Scheduling","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-010","INTENT-08-HANDOFF","Live Human Agent Handoff","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-011","INTENT-09-OBJECTION","Budget & Freelancer Objection Handling","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-012","INTENT-10-GREETING","Greeting & System Welcome","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-013","INTENT-11-MULTI","Ambiguous & Multi-Intent Signal Clarification","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
"FRQ-P4-014","INTENT-12-VALUEPROP","General Value Proposition & Service Discovery","READY_FOR_IMPLEMENTATION_SPEC","Aligned with Founder Decision Matrix (DEC-001 through DEC-006)"
