clean_record_id,source_record_id,source,source_file,data_origin,original_text,normalized_text,language,duplicate_status,duplicate_group_id,occurrence_count,search_volume,frequency,competition,category,source_date,pii_removed,notes,service_hint
"QI-CLN-0001","QI-RAW-0001","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","hi test","hi test","ENGLISH","NEAR_DUPLICATE_CANDIDATE","NEAR-GRP-001",1,,,,"","2026-08-27T15:09:45.548Z",false,"Logged during Gemini dual-eval turn 1",""
"QI-CLN-0002","QI-RAW-0002","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","hi","hi","ENGLISH","EXACT_DUPLICATE","DUP-GRP-002",3,,,,"","2026-08-27T15:14:29.037Z",false,"Logged during Gemini dual-eval turn 2",""
"QI-CLN-0003","QI-RAW-0003","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH","EXACT_DUPLICATE","DUP-GRP-003",3,,,,"","2026-08-27T15:14:42.838Z",false,"Logged during Gemini dual-eval turn 3",""
"QI-CLN-0004","QI-RAW-0004","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","hi","hi","ENGLISH","EXACT_DUPLICATE","DUP-GRP-002",3,,,,"","2026-08-27T15:14:49.761Z",false,"Logged during Gemini dual-eval turn 4",""
"QI-CLN-0005","QI-RAW-0005","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH","EXACT_DUPLICATE","DUP-GRP-004",3,,,,"","2026-08-27T15:14:57.884Z",false,"Logged during Gemini dual-eval turn 5",""
"QI-CLN-0006","QI-RAW-0006","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH","EXACT_DUPLICATE","DUP-GRP-003",3,,,,"","2026-08-27T15:15:01.832Z",false,"Logged during Gemini dual-eval turn 6",""
"QI-CLN-0007","QI-RAW-0007","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH","EXACT_DUPLICATE","DUP-GRP-004",3,,,,"","2026-08-27T15:15:13.636Z",false,"Logged during Gemini dual-eval turn 7",""
"QI-CLN-0008","QI-RAW-0008","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","hi","hi","ENGLISH","EXACT_DUPLICATE","DUP-GRP-002",3,,,,"","2026-08-27T15:15:18.615Z",false,"Logged during Gemini dual-eval turn 8",""
"QI-CLN-0009","QI-RAW-0009","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","HINGLISH","EXACT_DUPLICATE","DUP-GRP-003",3,,,,"","2026-08-27T15:15:31.520Z",false,"Logged during Gemini dual-eval turn 9",""
"QI-CLN-0010","QI-RAW-0010","tier0_shadow_log","n8n_DataTable","REAL_VISITOR","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","HINGLISH","EXACT_DUPLICATE","DUP-GRP-004",3,,,,"","2026-08-27T15:15:42.943Z",false,"Logged during Gemini dual-eval turn 10",""
"QI-CLN-0011","QI-RAW-0011","customer_context","n8n_DataTable","REAL_CUSTOMER","This is a Phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","this is a phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","ENGLISH","DISTINCT","",1,,,,"","2026-08-21T17:49:40.000Z",false,"Extracted from lead diagnostic audit brief","phase2-test"
"QI-CLN-0012","QI-RAW-0012","customer_context","n8n_DataTable","REAL_CUSTOMER","Contacted via website chat: Contact me at ajay@digixpro.in again","contacted via website chat: contact me at ajay@digixpro.in again","ENGLISH","DISTINCT","",1,,,,"","2026-08-27T05:18:19.154-04:00",true,"Extracted from lead diagnostic audit brief","sales-chat"
