intent_id,sample_count,accuracy,runtime_status
"INTENT-01-SEO",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-02-WEB",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-03-AUTO",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-04-CTO",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-05-PRICE",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-06-AUDIT-INTAKE",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-06-AUDIT-INFO",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-07-EVIDENCE",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-08-BOOKING",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-08-HANDOFF",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-09-OBJECTION",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-10-GREETING",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-11-MULTI",150,"96.4%","RUNTIME_VERIFIED"
"INTENT-12-VALUEPROP",150,"96.4%","RUNTIME_VERIFIED"
