parent_family_id,intent_id,intent_name,phase2_flow_id,evidence_count,real_evidence,synthetic_evidence,positive_signals,negative_signals,high_risk,coverage_status
"FAM-01","INTENT-01-SEO","SEO & Search Visibility Inquiry","FLOW-06",135,128,7,"seo, technical seo, local seo, google visibility, ai search, geo, aio, indexing, schema, organic traffic","redesign, rebuild, website banani, website audit, pricing kitni hai",false,"STRONG"
"FAM-02","INTENT-02-WEB","Website Design & Rebuild Inquiry","FLOW-06",297,287,10,"redesign, rebuild, new website, custom website, website banani, website banwani, wordpress website","seo, technical seo, automation, n8n, audit, fee kitni hai",false,"STRONG"
"FAM-03","INTENT-03-AUTO","Workflow & AI Automation Inquiry","FLOW-06",507,504,3,"automation, n8n, crm, workflow, api integration, lead automation, process automation, webhook","seo, website redesign, audit, fee kitni hai",false,"STRONG"
"FAM-04","INTENT-04-CTO","Technology Advisory & Fractional CTO","FLOW-06",503,500,3,"advisory, fractional cto, tech stack, due diligence, consulting, roadmap, vendor evaluation","seo, website redesign, n8n, audit",false,"STRONG"
"FAM-05","INTENT-05-PRICE","Pricing, Investment & Retainer Inquiry","FLOW-06",7,3,4,"aapki fee kitni hai, pricing kitni hai, how much cost, retainer per month, rates","freelancer, cheaper, sasta, budget kam hai",true,"ADEQUATE"
"FAM-06","INTENT-06-AUDIT-INTAKE","Diagnostic Systems Review Intake (Audit)","FLOW-04",19,19,0,"audit karwana hai, check my site, website speed audit, technical audit, systems review","audit kya hota hai, pricing kitni hai, hi",true,"STRONG"
"FAM-06","INTENT-06-AUDIT-INFO","Informational Audit FAQ","FLOW-02",1,0,1,"audit kya hota hai, what is included in audit, why run an audit","run audit now, check my site",false,"ADEQUATE"
"FAM-07","INTENT-07-EVIDENCE","Case Studies & Production Evidence Request","FLOW-03",2,0,2,"work, portfolio, evidence, case study, design work, examples, sample, projects, proof","pricing, fee, audit karwana hai",false,"ADEQUATE"
"FAM-08","INTENT-08-BOOKING","Direct Consultation Scheduling","FLOW-05",5,5,0,"book call, schedule call, 30 min consultation, meeting, book time with founder","kisi se baat karni hai, live chat agent",true,"STRONG"
"FAM-08","INTENT-08-HANDOFF","Live Human Agent Handoff","FLOW-05",1,1,0,"speak to someone, talk to human, human agent, contact person, founder contact","book call, schedule call",true,"ADEQUATE"
"FAM-09","INTENT-09-OBJECTION","Budget & Freelancer Objection Handling","FLOW-07",9,4,5,"freelancer, cheaper, sasta, too expensive, agency rates, can someone cheaper do this","fee kitni hai, pricing per month",true,"ADEQUATE"
"FAM-10","INTENT-10-GREETING","Greeting & System Welcome","FLOW-01",3,3,0,"hi, hello, hey, namaste, good morning, good evening","seo, website, pricing, audit",false,"STRONG"
"FAM-11","INTENT-11-MULTI","Ambiguous & Multi-Intent Signal Clarification","FLOW-01",1,1,0,"seo AND website AND pricing, audit AND retainer","single intent queries",true,"ADEQUATE"
"FAM-12","INTENT-12-VALUEPROP","General Value Proposition & Service Discovery","FLOW-02",662,638,24,"services, what services, what do you do, it consulting services, business automation agency","specific pricing asks, audit intake, direct booking",false,"STRONG"
