question_id,original_text,normalized_text,source_file,source_platform,source_sheet,seed_topic,evidence_type,real_vs_synthetic,search_volume,frequency,competition,language,pii_removed,duplicate_status,duplicate_group_id,provenance_id,notes
"MQU-00001","hi test","hi test","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-001","QI-CLN-0001","Logged during Gemini dual-eval turn 1"
"MQU-00002","hi","hi","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0001","QI-CLN-0002","Logged during Gemini dual-eval turn 2"
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0002","QI-CLN-0003","Logged during Gemini dual-eval turn 3"
"MQU-00004","hi","hi","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0001","QI-CLN-0004","Logged during Gemini dual-eval turn 4"
"MQU-00005","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0003","QI-CLN-0005","Logged during Gemini dual-eval turn 5"
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0002","QI-CLN-0006","Logged during Gemini dual-eval turn 6"
"MQU-00007","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0003","QI-CLN-0007","Logged during Gemini dual-eval turn 7"
"MQU-00008","hi","hi","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0001","QI-CLN-0008","Logged during Gemini dual-eval turn 8"
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0002","QI-CLN-0009","Logged during Gemini dual-eval turn 9"
"MQU-00010","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","Baseline Inventory","Baseline Corpus","REAL_VISITOR_CHAT","REAL_OBSERVED",,,,"HINGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0003","QI-CLN-0010","Logged during Gemini dual-eval turn 10"
"MQU-00011","This is a Phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","this is a phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","n8n_DataTable","customer_context","Baseline Inventory","phase2-test","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0011","Extracted from lead diagnostic audit brief"
"MQU-00012","Contacted via website chat: Contact me at ajay@digixpro.in again","contacted via website chat: contact me at ajay@digixpro.in again","n8n_DataTable","customer_context","Baseline Inventory","sales-chat","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",true,"DISTINCT","","QI-CLN-0012","Extracted from lead diagnostic audit brief"
