review_id,question_id,original_text,candidate_family,candidate_flow,competing_options,evidence_source,why_ambiguous,confidence,recommended_decision
"FRQ-001","MQU-00001","hi test","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","tier0_shadow_log (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-002","MQU-00003","mujhe monthly SEO kervana hai website ke liye","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","tier0_shadow_log (n8n_DataTable)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-003","MQU-00005","aapka SEO retainer kitna hai per month?","FAM-05: Pricing, Investment & Retainer Inquiry","FLOW-06: Service Scope / Pricing Clarification","FLOW-06 (Pricing Clarification) vs. FLOW-07 (Budget Qualification / Quote)","tier0_shadow_log (n8n_DataTable)","Commercial pricing request vs custom scope quotation requirement.",0.95,"Approve mapping to FLOW-06"
"FRQ-004","MQU-00011","This is a Phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-005","MQU-00012","Contacted via website chat: Contact me at ajay@digixpro.in again","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-006","MQU-00013","Contacted via website chat: My email is test@mailinator.com","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-007","MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-008","MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-009","MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","FAM-11: Ambiguous & Multi-Intent Requests","FLOW-01: Visitor Intent Identification","Multi-intent clarification vs Single Primary Intent Routing","customer_context (n8n_DataTable)","Prompt contains multiple capability keywords (e.g. SEO + Web + Pricing).",0.65,"Approve mapping to FLOW-01"
"FRQ-010","MQU-00020","Audit evaluation for Digixpro (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-011","MQU-00021","Submitted a URL for audit: https://www.digixpro.in","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","customer_context (n8n_DataTable)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-012","MQU-00031","Which technology stack should we choose?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-013","MQU-00032","Is our current agency code scalable?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-014","MQU-00034","Is this vendor quote realistic?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-015","MQU-00035","Are we overpaying for software licenses?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-016","MQU-00036","Do you take commissions from vendors?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-017","MQU-00039","Why is WhatsApp or Excel failing as our operating system?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-018","MQU-00040","Why avoid off-the-shelf ERPs?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-019","MQU-00041","How do we architect our platform for 10x traffic growth?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-020","MQU-00043","Can we get CTO-level technical leadership on a fractional basis?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-021","MQU-00044","How many hours per week?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
