family_id,family_name,description,phase2_flow_id,phase2_flow_name,primary_service_domain,evidence_record_count,real_evidence_count,synthetic_evidence_count,search_volume_total,ambiguity_status,high_risk_status,approved_by_founder,approval_reference,source_artifact,version,status
"FAM-01","SEO & Search Visibility Inquiry","Queries inquiring about managed monthly technical SEO, GEO (AI search), indexing, local lead visibility, schema architecture, and Google search rankings.","FLOW-06","Service Scope / Pricing Clarification","Search, AI & Automation",135,128,7,50,"RESOLVED_DEC_003",false,true,"DEC-003 (Explicit service capability signals like SEO take precedence over generic container wording 'website')","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-02","Website Design & Rebuild Inquiry","Queries inquiring about custom Next.js web platforms, website redesign, modernization, mobile responsiveness, and SEO-ready web engineering.","FLOW-06","Service Scope / Pricing Clarification","Design & Build",297,287,10,3570,"CLEAR",false,true,"Phase 3.8 Founder Decision Matrix","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-03","Workflow & AI Automation Inquiry","Queries inquiring about n8n workflow automation, Zoho CRM pipelines, lead capture automation, WhatsApp notifications, and business process automation.","FLOW-06","Service Scope / Pricing Clarification","Search, AI & Automation",507,504,3,8610,"CLEAR",false,true,"Phase 3.8 Founder Decision Matrix","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-04","Technology Advisory & Fractional CTO","Queries inquiring about strategic technology advisory, fractional CTO leadership, enterprise architecture, technology roadmaps, and vendor evaluation.","FLOW-06","Service Scope / Pricing Clarification","Advisory & Strategy",503,500,3,6180,"CLEAR",false,true,"Phase 3.8 Founder Decision Matrix","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-05","Pricing, Investment & Retainer Inquiry","Direct standalone inquiries asking for cost, fees, rates, monthly retainers, pricing packages, or investment scope.","FLOW-06","Service Scope / Pricing Clarification","Cross-Domain Commercial",7,3,4,0,"RESOLVED_DEC_002",true,true,"DEC-002 (Generic pricing asks map to FAM-05; service-context pricing stays within respective service streams)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-06","Systems Audit & Diagnostic Review Intake","Requests initiating a diagnostic systems review, website speed audit, code quality evaluation, or technical debt audit.","FLOW-04","Diagnostic Systems Review Intake (Audit)","Systems Audit & Diagnostic Reviews",20,19,1,0,"RESOLVED_DEC_004",true,true,"DEC-004 (Actionable audit intake maps to FLOW-04; informational audit FAQs route to FLOW-02)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-07","Case Studies & Production Evidence Request","Queries requesting verified production evidence, portfolio examples, client case studies, or proof of engineering outcomes.","FLOW-03","Case Study / Evidence Presentation","Cross-Domain Proof",2,0,2,0,"CLEAR",false,true,"Phase 3.8 Founder Decision Matrix","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-08","Consultation & Direct Contact Request","Queries requesting to speak with leadership, book a 30-minute discovery consultation, or schedule a direct call.","FLOW-05","Direct Consultation Scheduling","Leadership Consultation",5,5,0,0,"RESOLVED_DEC_005",true,true,"DEC-005 (Discovery meeting booking maps to FLOW-05; live human handoff triggers direct contact details)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-09","Budget & Freelancer Objection Handling","Queries objecting to costs, asking for cheaper options, comparing agency vs freelancer rates, or questioning pricing structure.","FLOW-07","Objection Handling / Budget Qualification","Commercial Qualification",9,4,5,0,"RESOLVED_DEC_006",true,true,"DEC-006 (Pricing requests and budget/freelancer objections remain distinct conversational states)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-10","Greeting & Civility","Initial greetings, pleasantries, or basic civility messages (e.g. 'hi', 'hello', 'namaste').","FLOW-01","Visitor Intent Identification","System Greeting",3,3,0,0,"CLEAR",false,true,"Phase 3.8 Founder Decision Matrix","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-11","Ambiguous & Multi-Intent Requests","Complex, multi-service, or ambiguous queries requiring multi-topic clarification or topic-switch handling.","FLOW-01","Visitor Intent Identification","Intent Clarification",1,1,0,0,"RESOLVED_DEC_003",true,true,"DEC-003 (Preserve existing Multiple-Service Signal clarification architecture)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
"FAM-12","General Value Proposition & Capabilities","General questions asking 'what do you do?', 'list services', or general agency service discovery.","FLOW-02","Value Proposition Explanation","Agency Value Proposition",662,638,24,9220,"RESOLVED_DEC_001",false,true,"DEC-001 (FAM-12 remains FLOW-02 Value Proposition & Service Discovery)","DigiXPro-Sales-Concierge-Master-Question-Universe-v1.0.json","v1.0","APPROVED"
