question_id,original_text,normalized_text,source_file,source_platform,evidence_type,real_vs_synthetic,candidate_family_id,candidate_family_name,candidate_phase2_flow,candidate_flow_name,mapping_confidence,ambiguity_flag,high_risk_flag,search_volume,competition,mapping_rationale
"MQU-00001","hi test","hi test","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-12","General Value Proposition & Capabilities","FLOW-02","Value Proposition Explanation",0.7,true,false,,,"General inquiry matched to Value Proposition flow."
"MQU-00002","hi","hi","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-10","Greeting & Civility","FLOW-01","Visitor Intent Identification",0.98,false,false,,,"Exact greeting or civility phrase match."
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-01","SEO & Search Visibility Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.9,true,false,,,"SEO inquiry containing generic website wording."
"MQU-00004","hi","hi","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-10","Greeting & Civility","FLOW-01","Visitor Intent Identification",0.98,false,false,,,"Exact greeting or civility phrase match."
"MQU-00005","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-05","Pricing, Investment & Retainer Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.95,false,true,,,"Explicit pricing/fee keyword pattern match."
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-01","SEO & Search Visibility Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.9,true,false,,,"SEO inquiry containing generic website wording."
"MQU-00007","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-05","Pricing, Investment & Retainer Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.95,false,true,,,"Explicit pricing/fee keyword pattern match."
"MQU-00008","hi","hi","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-10","Greeting & Civility","FLOW-01","Visitor Intent Identification",0.98,false,false,,,"Exact greeting or civility phrase match."
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","mujhe monthly seo kervana hai website ke liye","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-01","SEO & Search Visibility Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.9,true,false,,,"SEO inquiry containing generic website wording."
"MQU-00010","aapka SEO retainer kitna hai per month?","aapka seo retainer kitna hai per month?","n8n_DataTable","tier0_shadow_log","REAL_VISITOR_CHAT","REAL_OBSERVED","FAM-05","Pricing, Investment & Retainer Inquiry","FLOW-06","Service Scope / Pricing Clarification",0.95,false,true,,,"Explicit pricing/fee keyword pattern match."
"MQU-00011","This is a Phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","this is a phase 2 test row created to verify the automated follow-up email pipeline end-to-end.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00012","Contacted via website chat: Contact me at ajay@digixpro.in again","contacted via website chat: contact me at ajay@digixpro.in again","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00013","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00014","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00015","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00016","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro systems verification (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
"MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro enterprise final test (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","FAM-06","Systems Audit & Diagnostic Review Intake","FLOW-04","Diagnostic Systems Review Intake (Audit)",0.95,false,true,,,"Diagnostic audit request or customer audit intake brief."
