decision_id,intent_id,intent_name,validation_decision,reason,evidence,founder_action
"DEC-P41-001","INTENT-01-SEO","SEO & Search Visibility Inquiry","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-003 (Precedence & Multi-Service Signals))","135 Master Records (128 Real / 7 Synth)","APPROVE"
"DEC-P41-002","INTENT-02-WEB","Website Design & Rebuild Inquiry","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (Phase 3.8 Decision Matrix)","297 Master Records (287 Real / 10 Synth)","APPROVE"
"DEC-P41-003","INTENT-03-AUTO","Workflow & AI Automation Inquiry","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (Phase 3.8 Decision Matrix)","507 Master Records (504 Real / 3 Synth)","APPROVE"
"DEC-P41-004","INTENT-04-CTO","Technology Advisory & Fractional CTO","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (Phase 3.8 Decision Matrix)","503 Master Records (500 Real / 3 Synth)","APPROVE"
"DEC-P41-005","INTENT-05-PRICE","Pricing, Investment & Retainer Inquiry","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-002 (Pricing Strategy & Contextual Retainers))","7 Master Records (3 Real / 4 Synth)","APPROVE"
"DEC-P41-006","INTENT-06-AUDIT-INTAKE","Diagnostic Systems Review Intake (Audit)","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-004 (Actionable Audit Intake vs Informational FAQ))","19 Master Records (19 Real / 0 Synth)","APPROVE"
"DEC-P41-007","INTENT-06-AUDIT-INFO","Informational Audit FAQ","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-004 (Actionable Audit Intake vs Informational FAQ))","1 Master Records (0 Real / 1 Synth)","APPROVE"
"DEC-P41-008","INTENT-07-EVIDENCE","Case Studies & Production Evidence Request","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (Phase 3.8 Decision Matrix)","2 Master Records (0 Real / 2 Synth)","APPROVE"
"DEC-P41-009","INTENT-08-BOOKING","Direct Consultation Scheduling","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-005 (Discovery Consultation Booking vs Live Handoff))","5 Master Records (5 Real / 0 Synth)","APPROVE"
"DEC-P41-010","INTENT-08-HANDOFF","Live Human Agent Handoff","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-005 (Discovery Consultation Booking vs Live Handoff))","1 Master Records (1 Real / 0 Synth)","APPROVE"
"DEC-P41-011","INTENT-09-OBJECTION","Budget & Freelancer Objection Handling","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-006 (Commercial Pricing vs Budget Objections))","9 Master Records (4 Real / 5 Synth)","APPROVE"
"DEC-P41-012","INTENT-10-GREETING","Greeting & System Welcome","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (Phase 3.8 Decision Matrix)","3 Master Records (3 Real / 0 Synth)","APPROVE"
"DEC-P41-013","INTENT-11-MULTI","Ambiguous & Multi-Intent Signal Clarification","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-003 (Precedence & Multi-Service Signals))","1 Master Records (1 Real / 0 Synth)","APPROVE"
"DEC-P41-014","INTENT-12-VALUEPROP","General Value Proposition & Service Discovery","KEEP","Aligned 100% with Phase 3.8 Founder Decision Matrix (DEC-001 (FAM-12 Value Proposition & Service Discovery))","662 Master Records (638 Real / 24 Synth)","APPROVE"
