record_id,query_text,expected_intent,verified_intent,outcome
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-11-MULTI","INTENT-11-MULTI","VERIFIED"
"MQU-00020","Audit evaluation for Digixpro (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00021","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00022","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00023","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00024","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00025","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00026","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00027","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00028","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00029","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00030","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INTAKE","VERIFIED"
"MQU-00129","I would like to discuss DigiXPro Systems Audit recommendations or inspect verified production evidence and case studies.","INTENT-06-AUDIT-INFO","INTENT-06-AUDIT-INFO","VERIFIED"
"MQU-00138","technical SEO chahiye website ke liye","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-00144","seo website design services","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-00207","seo website design services","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01097","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01098","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01099","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01100","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01101","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01102","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01103","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01104","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01105","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01106","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01107","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01108","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01109","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01115","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01116","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01117","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01118","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
"MQU-01119","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-01-SEO","VERIFIED"
