intent_id,intent_name,parent_family_id,phase2_flow_id,phase2_flow_name,state_requirements,high_risk,evidence_count,real_evidence_count,synthetic_evidence_count,search_volume_total,coverage_status,approval_status
"INTENT-01-SEO","SEO & Search Visibility Inquiry","FAM-01","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,135,128,7,50,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-02-WEB","Website Design & Rebuild Inquiry","FAM-02","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,297,287,10,3570,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-03-AUTO","Workflow & AI Automation Inquiry","FAM-03","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,507,504,3,8610,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-04-CTO","Technology Advisory & Fractional CTO","FAM-04","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,503,500,3,6180,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-05-PRICE","Pricing, Investment & Retainer Inquiry","FAM-05","FLOW-06","Service Scope / Pricing Clarification","PRICING_DISCUSSION",true,7,3,4,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-06-AUDIT-INTAKE","Diagnostic Systems Review Intake (Audit)","FAM-06","FLOW-04","Diagnostic Systems Review Intake (Audit)","AUDIT_INTENT",true,19,19,0,0,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-06-AUDIT-INFO","Informational Audit FAQ","FAM-06","FLOW-02","Value Proposition Explanation","DISCOVERY",false,1,0,1,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-07-EVIDENCE","Case Studies & Production Evidence Request","FAM-07","FLOW-03","Case Study / Evidence Presentation","DISCOVERY",false,2,0,2,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-08-BOOKING","Direct Consultation Scheduling","FAM-08","FLOW-05","Direct Consultation Scheduling","CONSULTATION_REQUEST",true,5,5,0,0,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-08-HANDOFF","Live Human Agent Handoff","FAM-08","FLOW-05","Direct Consultation Scheduling","HUMAN_HANDOFF",true,1,1,0,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-09-OBJECTION","Budget & Freelancer Objection Handling","FAM-09","FLOW-07","Objection Handling / Budget Qualification","OBJECTION",true,9,4,5,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-10-GREETING","Greeting & System Welcome","FAM-10","FLOW-01","Visitor Intent Identification","NEW_VISITOR",false,3,3,0,0,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-11-MULTI","Ambiguous & Multi-Intent Signal Clarification","FAM-11","FLOW-01","Visitor Intent Identification","DISCOVERY",true,1,1,0,0,"ADEQUATE","READY_FOR_IMPLEMENTATION_SPEC"
"INTENT-12-VALUEPROP","General Value Proposition & Service Discovery","FAM-12","FLOW-02","Value Proposition Explanation","DISCOVERY",false,662,638,24,9220,"STRONG","READY_FOR_IMPLEMENTATION_SPEC"
