intent_id,intent_name,parent_family_id,phase2_flow_id,phase2_flow_name,required_state,high_risk,handoff_eligible,coverage_status,evidence_count,approval_status,approval_lineage,version,status
"INTENT-01-SEO","SEO & Search Visibility Inquiry","FAM-01","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,false,"STRONG",135,"APPROVED_AND_FROZEN","DEC-003 (Precedence & Multi-Service Signals)","v1.0","FROZEN"
"INTENT-02-WEB","Website Design & Rebuild Inquiry","FAM-02","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,false,"STRONG",297,"APPROVED_AND_FROZEN","Phase 3.8 Decision Matrix","v1.0","FROZEN"
"INTENT-03-AUTO","Workflow & AI Automation Inquiry","FAM-03","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,false,"STRONG",507,"APPROVED_AND_FROZEN","Phase 3.8 Decision Matrix","v1.0","FROZEN"
"INTENT-04-CTO","Technology Advisory & Fractional CTO","FAM-04","FLOW-06","Service Scope / Pricing Clarification","SERVICE_IDENTIFIED",false,false,"STRONG",503,"APPROVED_AND_FROZEN","Phase 3.8 Decision Matrix","v1.0","FROZEN"
"INTENT-05-PRICE","Pricing, Investment & Retainer Inquiry","FAM-05","FLOW-06","Service Scope / Pricing Clarification","PRICING_DISCUSSION",true,true,"ADEQUATE",7,"APPROVED_AND_FROZEN","DEC-002 (Pricing Strategy & Contextual Retainers)","v1.0","FROZEN"
"INTENT-06-AUDIT-INTAKE","Diagnostic Systems Review Intake (Audit)","FAM-06","FLOW-04","Diagnostic Systems Review Intake (Audit)","AUDIT_INTENT",true,true,"STRONG",19,"APPROVED_AND_FROZEN","DEC-004 (Actionable Audit Intake vs Informational FAQ)","v1.0","FROZEN"
"INTENT-06-AUDIT-INFO","Informational Audit FAQ","FAM-06","FLOW-02","Value Proposition Explanation","DISCOVERY",false,false,"ADEQUATE",1,"APPROVED_AND_FROZEN","DEC-004 (Actionable Audit Intake vs Informational FAQ)","v1.0","FROZEN"
"INTENT-07-EVIDENCE","Case Studies & Production Evidence Request","FAM-07","FLOW-03","Case Study / Evidence Presentation","DISCOVERY",false,false,"ADEQUATE",2,"APPROVED_AND_FROZEN","Phase 3.8 Decision Matrix","v1.0","FROZEN"
"INTENT-08-BOOKING","Direct Consultation Scheduling","FAM-08","FLOW-05","Direct Consultation Scheduling","CONSULTATION_REQUEST",true,true,"STRONG",5,"APPROVED_AND_FROZEN","DEC-005 (Discovery Consultation Booking vs Live Handoff)","v1.0","FROZEN"
"INTENT-08-HANDOFF","Live Human Agent Handoff","FAM-08","FLOW-05","Direct Consultation Scheduling","HUMAN_HANDOFF",true,true,"ADEQUATE",1,"APPROVED_AND_FROZEN","DEC-005 (Discovery Consultation Booking vs Live Handoff)","v1.0","FROZEN"
"INTENT-09-OBJECTION","Budget & Freelancer Objection Handling","FAM-09","FLOW-07","Objection Handling / Budget Qualification","OBJECTION",true,true,"ADEQUATE",9,"APPROVED_AND_FROZEN","DEC-006 (Commercial Pricing vs Budget Objections)","v1.0","FROZEN"
"INTENT-10-GREETING","Greeting & System Welcome","FAM-10","FLOW-01","Visitor Intent Identification","NEW_VISITOR",false,false,"STRONG",3,"APPROVED_AND_FROZEN","Phase 3.8 Decision Matrix","v1.0","FROZEN"
"INTENT-11-MULTI","Ambiguous & Multi-Intent Signal Clarification","FAM-11","FLOW-01","Visitor Intent Identification","DISCOVERY",true,true,"ADEQUATE",1,"APPROVED_AND_FROZEN","DEC-003 (Precedence & Multi-Service Signals)","v1.0","FROZEN"
"INTENT-12-VALUEPROP","General Value Proposition & Service Discovery","FAM-12","FLOW-02","Value Proposition Explanation","DISCOVERY",false,false,"STRONG",662,"APPROVED_AND_FROZEN","DEC-001 (FAM-12 Value Proposition & Service Discovery)","v1.0","FROZEN"
