record_id,source,source_file,original_query,normalized_query,data_origin,query_type,language,country,search_volume,frequency,source_metric_name,cpc,competition,source_date,category,sub_category,source_row_reference,duplicate_candidate,pii_removed,notes
"ATP-EXT-0001","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional ceo services","fractional ceo services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",10,10,"Volume",,13,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:2",false,false,"Target URL: https://www.digixpro.in/services/fractional-ceo-services"
"ATP-EXT-0002","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai automation services","ai automation services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",480,480,"Volume",,19,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:3",false,false,"General search query"
"ATP-EXT-0003","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","seo website design services","seo website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",50,50,"Volume",,11,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:4",false,false,"General search query"
"ATP-EXT-0004","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai consulting services","ai consulting services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",1000,1000,"Volume",,27,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:5",false,false,"General search query"
"ATP-EXT-0005","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","wordpress website design services","wordpress website design services","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",260,260,"Volume",,50,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:6",false,false,"General search query"
"ATP-EXT-0006","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","modern website design agency","modern website design agency","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",10,10,"Volume",,10,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:7",false,false,"General search query"
"ATP-EXT-0007","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai adoption strategy","ai adoption strategy","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",140,140,"Volume",,17,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:8",false,false,"General search query"
"ATP-EXT-0008","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business process automation","business process automation","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",590,590,"Volume",,61,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:9",false,false,"General search query"
"ATP-EXT-0009","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional cto","fractional cto","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",390,390,"Volume",,30,"2026-08-24","Informational",,"position-tracking-report-2026-08-24.csv:row:10",false,false,"General search query"
"ATP-EXT-0010","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","small business website design services","small business website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",140,140,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:11",false,false,"General search query"
"ATP-EXT-0011","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","benefits of business process automation","benefits of business process automation","EXTERNAL_SEARCH_DEMAND","QUESTION","ENGLISH","India / Global",110,110,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:12",false,false,"General search query"
