record_id,original_text,parent_family_id,intent_id,classification_status
"MQU-00001","hi test","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","FAM-11","INTENT-11-MULTI","REVIEW_REQUIRED"
"MQU-00031","Which technology stack should we choose?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00032","Is our current agency code scalable?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00034","Is this vendor quote realistic?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00035","Are we overpaying for software licenses?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00036","Do you take commissions from vendors?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00039","Why is WhatsApp or Excel failing as our operating system?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00040","Why avoid off-the-shelf ERPs?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00041","How do we architect our platform for 10x traffic growth?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00043","Can we get CTO-level technical leadership on a fractional basis?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00044","How many hours per week?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00050","Can appointment forms be integrated?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00051","Why are our Google/Meta ad leads expensive?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00052","Do you handle ad spend management?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00053","How do we double conversion rates from existing traffic?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00054","What results can we expect?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00055","Is the website built SEO-ready from day one?","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00058","Do you guarantee #1 rankings?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00059","How do we get featured in ChatGPT and Perplexity recommendations?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00060","What is GEO?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00061","How do local clinics attract nearby patients via search?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00062","How fast do local search rankings improve?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00063","Do you offer social media content design?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00064","Does this include ad spend management?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00066","Do we need expensive enterprise licenses?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00068","How fast are WhatsApp lead alerts delivered?","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00069","कीवर्ड","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00082","AI adoption strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00097","digital transformation advisor","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00098","कीवर्ड","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00100","web design agency","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00101","web design agency india","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00106","कीवर्ड","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00114","कीवर्ड","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00115","graphic design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00116","unlimited graphic design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00117","freelance graphic design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00118","best unlimited graphic design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00119","custom logo design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00120","magazine design service","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00121","graphic design service in india","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00122","कीवर्ड","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00123","Canva magazine template","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00124","editable magazine template free download","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00125","digital magazine template free","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00127","I am evaluating a custom website design, website redesign, or SEO-ready web engineering project.","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00138","technical SEO chahiye website ke liye","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00144","seo website design services","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00148","ai adoption strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00157","social media strategy consultant","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00158","web design agency india","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00164","web design agency","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00176","social media marketing strategy for small business","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00177","b2b social media marketing strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00194","business operating system","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00199","social media marketing strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00207","seo website design services","FAM-01","INTENT-01-SEO","REVIEW_REQUIRED"
"MQU-00211","ai adoption strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00220","social media strategy consultant","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00221","web design agency india","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00227","web design agency","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
