record_id,query_text,status,routing_outcome
"MQU-00001","hi test","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00031","Which technology stack should we choose?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00032","Is our current agency code scalable?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00034","Is this vendor quote realistic?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00035","Are we overpaying for software licenses?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00036","Do you take commissions from vendors?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00039","Why is WhatsApp or Excel failing as our operating system?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00040","Why avoid off-the-shelf ERPs?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00041","How do we architect our platform for 10x traffic growth?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00043","Can we get CTO-level technical leadership on a fractional basis?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00044","How many hours per week?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00050","Can appointment forms be integrated?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00051","Why are our Google/Meta ad leads expensive?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00052","Do you handle ad spend management?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00053","How do we double conversion rates from existing traffic?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00054","What results can we expect?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00055","Is the website built SEO-ready from day one?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00058","Do you guarantee #1 rankings?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00059","How do we get featured in ChatGPT and Perplexity recommendations?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00060","What is GEO?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00061","How do local clinics attract nearby patients via search?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00062","How fast do local search rankings improve?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00063","Do you offer social media content design?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00064","Does this include ad spend management?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00066","Do we need expensive enterprise licenses?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00068","How fast are WhatsApp lead alerts delivered?","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00069","कीवर्ड","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00082","AI adoption strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00097","digital transformation advisor","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00098","कीवर्ड","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00100","web design agency","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00101","web design agency india","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00106","कीवर्ड","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00114","कीवर्ड","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00115","graphic design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00116","unlimited graphic design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00117","freelance graphic design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00118","best unlimited graphic design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00119","custom logo design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00120","magazine design service","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00121","graphic design service in india","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00122","कीवर्ड","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00123","Canva magazine template","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00124","editable magazine template free download","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00125","digital magazine template free","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00127","I am evaluating a custom website design, website redesign, or SEO-ready web engineering project.","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00138","technical SEO chahiye website ke liye","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00144","seo website design services","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00148","ai adoption strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00157","social media strategy consultant","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00158","web design agency india","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00164","web design agency","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00176","social media marketing strategy for small business","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00177","b2b social media marketing strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00194","business operating system","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00199","social media marketing strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00207","seo website design services","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00211","ai adoption strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00220","social media strategy consultant","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00221","web design agency india","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00227","web design agency","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00239","social media marketing strategy for small business","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00240","b2b social media marketing strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00257","business operating system","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00262","social media marketing strategy","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00268","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00269","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00270","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00271","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00272","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00273","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00274","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00275","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00276","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00277","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00278","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00279","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00280","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00281","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00282","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00283","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00284","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00285","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00286","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00287","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00288","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00289","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00290","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00291","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00292","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00293","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00294","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00295","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00296","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00297","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00298","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00299","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00300","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00301","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00302","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00303","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00304","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00305","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00306","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00307","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00308","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00309","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00310","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00311","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00312","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00313","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00314","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00315","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00316","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00317","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00318","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00319","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00320","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00321","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00322","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00323","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00324","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00325","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00326","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00327","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00328","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00329","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00330","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00331","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00332","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00333","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00334","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00335","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00336","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00337","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00338","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00339","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00340","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
