record_id,original_text,assigned_intent,competing_intent,hard_negative_reason
"MQU-00003","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00006","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00009","mujhe monthly SEO kervana hai website ke liye","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-11-MULTI","INTENT-06-AUDIT-INTAKE","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00020","Audit evaluation for Digixpro (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00021","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00022","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00023","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00024","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00025","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00026","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00027","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00028","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00029","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00030","Submitted a URL for audit: https://www.digixpro.in","INTENT-06-AUDIT-INTAKE","INTENT-06-AUDIT-INFO","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00055","Is the website built SEO-ready from day one?","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00127","I am evaluating a custom website design, website redesign, or SEO-ready web engineering project.","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00129","I would like to discuss DigiXPro Systems Audit recommendations or inspect verified production evidence and case studies.","INTENT-06-AUDIT-INFO","INTENT-06-AUDIT-INTAKE","Audit keyword present; tests actionable intake vs info FAQ DEC-004."
"MQU-00138","technical SEO chahiye website ke liye","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00144","seo website design services","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-00207","seo website design services","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01097","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01098","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01099","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01100","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01101","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01102","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01103","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01104","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01105","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
